"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","19,20","18,67","-2,56","18,67","19,35","329,64M"
"27/12/2019","19,25","19,16","-0,31","19,09","19,36","254,07M"
"26/12/2019","18,96","19,22","1,37","18,83","19,25","395,23M"
"23/12/2019","19,01","18,96","2,94","18,78","19,08","309,35M"
"20/12/2019","18,14","18,42","-1,36","18,04","18,52","474,41M"
"19/12/2019","18,59","18,67","0,42","18,47","18,67","507,42M"
"18/12/2019","18,47","18,59","0,95","18,35","18,69","589,70M"
"17/12/2019","18,65","18,42","-0,89","18,40","18,80","260,70M"
"16/12/2019","18,53","18,59","0,37","18,52","18,77","319,16M"
"13/12/2019","18,31","18,52","1,66","18,30","18,54","288,61M"
"12/12/2019","17,99","18,21","1,35","17,95","18,29","317,34M"
"11/12/2019","17,98","17,97","0,44","17,79","18,02","530,55M"
"10/12/2019","17,91","17,89","-0,38","17,82","18,09","263,76M"
"09/12/2019","17,97","17,96","-0,05","17,77","18,02","241,47M"
"06/12/2019","17,74","17,97","1,65","17,68","18,05","350,01M"
"05/12/2019","17,81","17,68","-0,82","17,63","17,87","604,23M"
"04/12/2019","17,53","17,83","2,41","17,48","18,05","387,80M"
"03/12/2019","17,63","17,41","-0,56","17,29","17,63","1,70B"
"02/12/2019","17,58","17,50","-0,44","17,43","17,69","179,79M"
"29/11/2019","17,63","17,58","0,22","17,39","17,68","146,10M"
"28/11/2019","17,49","17,54","0,28","17,42","17,66","89,65M"
"27/11/2019","17,48","17,49","-0,39","17,30","17,68","153,11M"
"26/11/2019","17,64","17,56","-0,93","17,26","17,71","569,49M"
"25/11/2019","17,72","17,73","0,05","17,55","17,83","139,13M"
"22/11/2019","17,55","17,72","0,66","17,47","17,82","301,28M"
"21/11/2019","17,37","17,60","2,26","17,21","17,60","341,64M"
"19/11/2019","17,15","17,21","0,63","16,96","17,27","167,00M"
"18/11/2019","17,13","17,10","0,63","16,97","17,22","161,41M"
"14/11/2019","16,92","17,00","0,46","16,86","17,15","310,09M"
"13/11/2019","16,92","16,92","0,00","16,80","17,00","191,51M"
"12/11/2019","16,95","16,92","-0,97","16,80","17,08","238,19M"
"11/11/2019","16,83","17,08","1,39","16,77","17,18","201,85M"
