"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","52,48","52,20","-0,28","52,20","52,71","410,66M"
"27/12/2019","52,72","52,35","-0,43","51,65","53,04","450,81M"
"26/12/2019","51,86","52,57","1,14","51,73","52,63","525,10M"
"23/12/2019","50,36","51,98","3,02","50,14","51,98","452,06M"
"20/12/2019","50,35","50,46","-0,20","49,65","50,50","479,11M"
"19/12/2019","49,71","50,56","1,03","49,49","50,56","611,93M"
"18/12/2019","48,18","50,04","3,45","48,06","50,11","1,01B"
"17/12/2019","47,57","48,37","2,26","47,36","48,37","505,18M"
"16/12/2019","48,19","47,31","-1,36","47,31","48,67","575,98M"
"13/12/2019","48,29","47,96","-0,42","47,79","48,92","873,81M"
"12/12/2019","47,26","48,16","2,22","47,13","48,16","404,87M"
"11/12/2019","47,31","47,12","-0,15","46,83","47,63","470,10M"
"10/12/2019","47,81","47,19","-1,44","46,93","47,99","308,86M"
"09/12/2019","47,61","47,87","0,31","47,57","48,20","403,75M"
"06/12/2019","47,84","47,73","-0,41","47,53","48,24","460,51M"
"05/12/2019","48,41","47,92","-0,86","47,57","48,51","454,62M"
"04/12/2019","47,65","48,34","1,45","47,56","48,38","722,62M"
"03/12/2019","47,40","47,65","2,02","47,22","47,94","834,66M"
"02/12/2019","47,08","46,70","-0,79","46,70","47,59","458,69M"
"29/11/2019","46,91","47,08","0,44","46,68","47,25","342,55M"
"28/11/2019","46,22","46,87","0,55","45,85","46,94","322,30M"
"27/11/2019","45,49","46,61","2,91","44,79","46,65","513,33M"
"26/11/2019","45,64","45,30","-1,29","44,86","45,67","693,34M"
"25/11/2019","46,04","45,89","0,46","45,56","46,22","340,40M"
"22/11/2019","45,03","45,67","0,80","44,86","45,82","348,10M"
"21/11/2019","44,70","45,31","1,29","44,60","45,42","507,81M"
"19/11/2019","45,28","44,74","-0,46","44,66","45,40","364,35M"
"18/11/2019","45,92","44,94","-1,10","44,94","46,06","708,28M"
"14/11/2019","45,07","45,44","1,22","44,71","45,67","546,21M"
"13/11/2019","45,36","44,89","-1,65","44,76","45,62","590,45M"
"12/11/2019","45,95","45,64","-1,10","45,28","46,45","754,66M"
"11/11/2019","45,66","46,15","0,51","45,34","46,34","465,79M"
"08/11/2019","46,27","45,92","-1,41","45,49","46,65","775,18M"
"07/11/2019","46,94","46,57","0,00","46,37","47,36","677,41M"
"06/11/2019","46,90","46,57","-0,67","46,26","47,36","505,38M"
"05/11/2019","46,70","46,89","0,63","46,53","47,33","433,61M"
"04/11/2019","47,04","46,59","-0,56","46,31","47,43","519,88M"
"01/11/2019","47,33","46,86","-0,39","46,36","47,68","575,06M"
"31/10/2019","47,77","47,04","-2,57","46,85","47,87","665,99M"
"30/10/2019","47,49","48,28","1,56","46,44","48,28","743,26M"
"29/10/2019","47,47","47,54","-0,27","47,34","47,98","494,33M"
"28/10/2019","46,75","47,67","2,22","46,60","47,67","679,74M"
"25/10/2019","46,19","46,63","0,91","46,03","46,94","483,32M"
"24/10/2019","46,64","46,21","-0,63","45,63","46,97","1,02B"
"23/10/2019","46,26","46,50","0,42","45,80","47,25","960,44M"
"22/10/2019","45,43","46,31","2,16","45,37","46,57","782,17M"
"21/10/2019","45,23","45,33","0,74","44,72","45,67","709,69M"
"18/10/2019","44,94","45,00","2,56","44,45","45,48","2,11B"
"17/10/2019","44,29","43,88","-0,20","43,55","44,65","1,09B"
"16/10/2019","43,38","43,96","1,40","42,89","44,32","661,57M"
