"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","67,43","69,07","2,43","67,08","69,34","92,81M"
"27/12/2019","67,24","67,43","0,82","66,40","67,45","54,68M"
"26/12/2019","67,77","66,88","-0,56","65,68","67,77","52,10M"
"23/12/2019","67,73","67,26","-0,70","66,96","67,97","95,49M"
"20/12/2019","66,91","67,73","1,39","66,23","67,79","79,82M"
"19/12/2019","64,49","66,80","3,59","64,25","66,87","114,18M"
"18/12/2019","64,39","64,49","0,03","63,90","64,65","61,85M"
"17/12/2019","64,40","64,47","0,71","63,65","64,86","49,05M"
"16/12/2019","63,53","64,01","0,79","63,53","64,81","59,34M"
"13/12/2019","63,01","63,51","1,06","62,45","64,13","54,08M"
"12/12/2019","63,48","62,84","-0,35","62,22","63,69","36,61M"
"11/12/2019","63,56","63,06","-0,40","62,88","63,62","60,46M"
"10/12/2019","63,04","63,31","0,45","62,75","63,60","35,27M"
"09/12/2019","63,73","63,03","-0,61","63,03","63,89","43,33M"
"06/12/2019","61,89","63,42","3,81","61,59","63,42","98,91M"
"05/12/2019","61,09","61,09","0,08","60,89","61,69","56,28M"
"04/12/2019","60,16","61,04","1,53","59,93","61,05","34,56M"
"03/12/2019","60,42","60,12","-0,80","60,05","61,23","60,68M"
"02/12/2019","61,35","60,61","-1,19","59,93","62,44","112,32M"
"29/11/2019","60,07","61,33","2,10","59,73","61,62","58,33M"
"28/11/2019","59,73","60,07","0,57","59,25","60,10","19,50M"
"27/11/2019","58,98","59,73","1,92","58,28","59,91","28,73M"
"26/11/2019","59,59","58,61","-1,72","58,32","59,59","43,26M"
"25/11/2019","59,44","59,64","0,75","59,37","60,51","38,85M"
"22/11/2019","59,26","59,19","0,05","58,56","59,37","45,92M"
"21/11/2019","57,09","59,16","4,49","56,56","59,55","89,65M"
"19/11/2019","56,10","56,62","1,72","55,53","57,36","109,15M"
"18/11/2019","57,21","55,66","-2,55","55,66","57,81","75,95M"
"14/11/2019","56,69","57,12","0,77","56,64","57,76","71,59M"
"13/11/2019","57,21","56,68","3,91","56,27","58,17","158,33M"
"12/11/2019","53,49","54,55","2,01","53,09","54,79","80,73M"
"11/11/2019","52,87","53,47","0,31","52,70","53,47","30,09M"
"08/11/2019","53,64","53,30","-0,63","52,85","54,07","61,63M"
"07/11/2019","53,78","53,64","0,58","53,32","54,08","40,90M"
"06/11/2019","53,19","53,33","0,27","52,84","53,82","35,40M"
"05/11/2019","54,21","53,19","-1,54","52,56","54,45","97,99M"
"04/11/2019","55,85","54,02","-2,45","53,96","55,85","39,25M"
"01/11/2019","54,01","55,38","2,59","53,48","55,51","80,21M"
"31/10/2019","52,73","53,98","2,33","52,49","54,26","77,62M"
"30/10/2019","51,48","52,75","2,47","51,20","53,01","38,55M"
"29/10/2019","51,26","51,48","0,36","51,06","51,99","42,87M"
"28/10/2019","51,60","51,30","-0,77","50,70","51,97","40,27M"
"25/10/2019","52,36","51,69","-1,26","51,69","52,65","62,07M"
"24/10/2019","51,60","52,35","1,49","51,38","52,60","34,32M"
"23/10/2019","51,51","51,59","0,59","50,73","51,86","30,03M"
"22/10/2019","50,72","51,29","1,44","50,27","51,71","67,62M"
"21/10/2019","50,11","50,56","1,24","49,53","51,05","32,27M"
"18/10/2019","49,80","49,94","0,00","49,42","50,35","41,92M"
"17/10/2019","49,72","49,94","0,88","49,72","50,72","49,70M"
"16/10/2019","48,44","49,50","2,30","47,87","49,50","28,66M"
"15/10/2019","48,37","48,39","0,04","48,11","49,48","42,07M"
"14/10/2019","48,77","48,37","-0,44","48,37","49,13","26,60M"
"11/10/2019","48,49","48,58","1,03","48,22","49,29","57,08M"
"10/10/2019","48,74","48,09","-1,12","48,09","48,90","69,72M"
"09/10/2019","48,30","48,63","1,13","48,24","49,18","18,97M"
"08/10/2019","47,80","48,09","1,08","47,59","48,58","33,69M"
"07/10/2019","48,78","47,57","-2,56","47,57","49,24","43,60M"
"04/10/2019","48,33","48,82","0,96","47,69","48,99","21,30M"
"03/10/2019","48,36","48,36","1,42","47,21","48,42","24,37M"
"02/10/2019","47,68","47,68","-0,73","47,07","47,88","40,40M"
"01/10/2019","48,03","48,03","-0,16","47,22","48,42","52,95M"
"30/09/2019","48,11","48,11","1,24","47,61","48,81","27,01M"
"27/09/2019","47,52","47,52","-2,45","47,52","48,79","30,97M"
"26/09/2019","48,73","48,71","0,06","47,85","49,07","30,66M"
"25/09/2019","49,02","48,68","-0,79","48,02","49,03","18,09M"
"24/09/2019","49,07","49,07","-0,84","49,07","49,84","39,49M"
"23/09/2019","49,48","49,48","-1,87","49,27","50,41","26,13M"
"20/09/2019","50,42","50,42","-0,46","49,31","50,67","49,86M"
"19/09/2019","50,66","50,66","3,84","49,23","50,67","34,53M"
"18/09/2019","48,79","48,79","0,00","48,39","49,56","26,94M"
"17/09/2019","48,79","48,79","1,80","47,71","49,15","32,14M"
"16/09/2019","48,49","47,92","-1,00","47,92","48,71","42,11M"
"13/09/2019","48,41","48,41","-1,19","48,17","49,36","30,19M"
"12/09/2019","49,21","48,99","0,22","48,79","49,98","22,07M"
"11/09/2019","48,88","48,88","1,57","48,15","48,88","38,48M"
