"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","50,82","50,80","-0,02","50,62","51,30","39,93M"
"27/12/2019","51,49","50,81","-0,61","50,61","51,72","51,06M"
"26/12/2019","50,00","51,12","2,55","49,74","51,47","74,45M"
"23/12/2019","48,51","49,85","2,74","48,51","49,85","42,73M"
"20/12/2019","48,99","48,52","-0,47","48,52","49,12","85,42M"
"19/12/2019","49,80","48,75","-1,87","48,40","50,02","112,49M"
"18/12/2019","47,16","49,68","5,03","46,93","50,47","170,47M"
"17/12/2019","47,77","47,30","-0,44","47,07","47,95","56,16M"
"16/12/2019","47,99","47,51","-1,00","47,48","47,99","59,97M"
"13/12/2019","47,83","47,99","0,33","47,41","47,99","51,40M"
"12/12/2019","47,75","47,83","0,17","47,38","47,90","47,39M"
"11/12/2019","47,27","47,75","1,02","47,07","47,75","44,99M"
"10/12/2019","47,32","47,27","-0,48","46,89","47,47","30,90M"
"09/12/2019","47,80","47,50","-0,31","47,07","47,80","36,04M"
"06/12/2019","47,34","47,65","0,02","47,34","47,83","28,32M"
"05/12/2019","46,81","47,64","1,51","46,52","47,70","49,04M"
"04/12/2019","46,65","46,93","5,58","46,50","47,03","98,43M"
"03/12/2019","43,71","44,45","-1,86","43,68","44,45","66,74M"
"02/12/2019","45,49","45,29","0,17","44,92","45,88","79,88M"
"29/11/2019","45,05","45,21","0,88","45,03","45,92","94,25M"
"28/11/2019","43,99","44,82","1,98","43,98","45,04","42,53M"
"27/11/2019","43,57","43,95","1,38","43,50","44,20","114,99M"
"26/11/2019","43,70","43,35","-1,12","43,20","43,78","79,00M"
"25/11/2019","43,86","43,84","-0,02","43,43","43,89","51,66M"
"22/11/2019","43,35","43,85","1,43","43,21","43,93","41,27M"
"21/11/2019","43,31","43,23","0,04","42,71","43,54","56,81M"
"19/11/2019","43,51","43,21","-0,11","42,74","43,74","50,51M"
"18/11/2019","43,24","43,26","0,97","43,15","43,58","43,43M"
"14/11/2019","43,03","42,85","-0,25","42,64","43,12","34,90M"
"13/11/2019","42,92","42,95","-0,31","42,56","43,26","62,89M"
"12/11/2019","43,69","43,09","-1,11","42,74","43,76","60,85M"
"11/11/2019","43,57","43,57","-0,29","43,14","43,68","64,58M"
"08/11/2019","44,42","43,70","-2,27","43,52","44,44","64,49M"
"07/11/2019","44,55","44,71","0,50","44,34","44,89","68,43M"
"06/11/2019","45,41","44,49","0,11","44,34","45,67","69,31M"
"05/11/2019","44,57","44,44","-0,09","43,96","44,68","49,33M"
"04/11/2019","44,52","44,48","0,07","44,48","44,92","43,11M"
"01/11/2019","44,01","44,45","1,59","43,91","44,72","83,57M"
"31/10/2019","43,78","43,76","-0,11","43,22","43,96","58,29M"
"30/10/2019","43,29","43,80","1,39","42,73","43,82","37,35M"
"29/10/2019","42,87","43,20","1,06","42,60","43,25","38,92M"
"28/10/2019","42,25","42,75","1,59","42,06","42,90","36,88M"
"25/10/2019","42,42","42,08","-0,64","42,06","42,65","37,81M"
"24/10/2019","42,34","42,35","0,16","42,02","42,56","49,00M"
"23/10/2019","42,48","42,29","-0,48","42,05","42,66","62,85M"
"22/10/2019","42,50","42,49","-0,43","42,29","43,00","59,25M"
"21/10/2019","42,03","42,67","0,87","41,79","42,70","35,44M"
"18/10/2019","42,23","42,31","0,44","41,78","42,42","71,34M"
"17/10/2019","41,93","42,12","0,60","41,59","42,13","30,67M"
"16/10/2019","42,24","41,87","0,21","41,03","42,24","53,44M"
"15/10/2019","42,41","41,78","-1,37","41,51","42,65","65,28M"
"14/10/2019","41,82","42,36","1,65","41,21","42,36","47,67M"
"11/10/2019","41,25","41,68","2,16","40,90","41,79","35,60M"
"10/10/2019","41,18","40,80","-0,66","40,77","41,33","56,19M"
"09/10/2019","41,46","41,07","-0,45","40,85","41,60","46,88M"
"08/10/2019","41,62","41,25","-0,61","41,01","41,87","43,00M"
"07/10/2019","42,44","41,50","-2,45","41,39","42,63","51,17M"
"04/10/2019","42,50","42,55","0,09","42,10","42,75","30,98M"
"03/10/2019","42,51","42,51","0,83","41,81","42,51","36,85M"
"02/10/2019","42,16","42,16","-1,87","42,16","42,76","59,08M"
"01/10/2019","42,96","42,96","0,11","42,07","43,03","67,73M"
"30/09/2019","42,91","42,91","1,00","42,45","43,11","44,87M"
"27/09/2019","42,49","42,49","-0,09","42,23","42,59","23,50M"
"26/09/2019","42,44","42,53","-0,05","42,28","42,71","23,65M"
"25/09/2019","42,55","42,55","-1,57","42,26","43,07","55,80M"
"24/09/2019","43,22","43,22","0,11","42,93","43,44","31,53M"
"23/09/2019","43,18","43,18","-0,51","42,86","43,40","29,02M"
"20/09/2019","43,40","43,40","-0,62","42,97","44,33","68,95M"
"19/09/2019","43,67","43,67","2,73","42,55","43,97","61,76M"
"18/09/2019","42,51","42,51","0,16","42,27","42,72","33,39M"
"17/09/2019","42,44","42,44","-1,17","42,39","43,17","75,69M"
"16/09/2019","42,70","42,94","0,91","42,41","43,21","35,99M"
"13/09/2019","42,56","42,56","-1,45","42,56","43,45","31,22M"
"12/09/2019","43,35","43,18","0,68","43,05","43,50","39,94M"
"11/09/2019","42,89","42,89","1,74","42,21","43,02","31,63M"
"10/09/2019","42,28","42,16","-0,32","42,08","42,68","34,75M"
"09/09/2019","42,30","42,30","-0,57","42,21","43,27","61,97M"
"06/09/2019","42,54","42,54","-1,54","42,46","43,83","50,29M"
"05/09/2019","43,20","43,20","1,06","42,85","43,47","60,08M"
"04/09/2019","42,64","42,75","0,64","41,96","42,84","43,99M"
"03/09/2019","42,48","42,48","-0,70","41,86","43,17","43,87M"
"02/09/2019","42,78","42,78","-1,62","42,78","43,85","27,83M"
"30/08/2019","43,48","43,48","2,18","41,89","43,99","75,73M"
"29/08/2019","42,56","42,56","1,31","41,89","42,56","67,46M"
"28/08/2019","42,01","42,01","1,12","40,98","42,17","66,92M"
"27/08/2019","41,54","41,54","-0,14","40,96","41,77","95,56M"
"26/08/2019","41,60","41,60","-1,49","41,15","42,63","51,98M"
"23/08/2019","42,54","42,23","-0,75","41,76","42,92","42,19M"
"22/08/2019","42,55","42,55","-1,26","42,55","43,47","24,08M"
"21/08/2019","43,09","43,09","0,59","42,44","43,25","49,93M"
"20/08/2019","42,84","42,84","-1,86","42,82","43,76","52,22M"
"19/08/2019","43,65","43,65","0,00","43,31","44,50","34,92M"
