"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","26,40","25,80","-2,27","25,78","26,54","206,96M"
"27/12/2019","26,62","26,40","-0,34","26,25","26,76","180,45M"
"26/12/2019","26,39","26,49","0,65","26,08","26,62","180,76M"
"23/12/2019","26,15","26,32","1,23","26,01","26,58","170,71M"
"20/12/2019","26,26","26,00","-0,95","25,90","26,39","343,62M"
"19/12/2019","26,05","26,25","1,43","25,51","26,40","329,48M"
"18/12/2019","25,01","25,88","3,56","24,90","26,15","520,78M"
"17/12/2019","25,52","24,99","-2,00","24,59","25,57","404,79M"
"16/12/2019","25,95","25,50","-0,55","25,26","25,95","217,10M"
"13/12/2019","25,37","25,64","1,54","25,20","25,87","289,22M"
"12/12/2019","25,55","25,25","-0,79","25,05","25,83","337,38M"
"11/12/2019","26,15","25,45","-2,12","25,20","26,24","500,42M"
"10/12/2019","25,65","26,00","-2,00","25,56","26,53","437,72M"
"09/12/2019","27,55","26,53","-3,35","26,50","27,65","363,21M"
"06/12/2019","27,74","27,45","-0,36","27,26","28,02","311,60M"
"05/12/2019","27,45","27,55","1,18","27,23","27,79","228,56M"
"04/12/2019","28,16","27,23","-2,82","27,16","28,32","328,93M"
"03/12/2019","28,37","28,02","-0,64","27,54","28,41","251,30M"
"02/12/2019","28,89","28,20","-0,98","28,20","28,89","352,54M"
"29/11/2019","28,70","28,48","-0,59","28,11","29,15","375,63M"
"28/11/2019","27,60","28,65","3,80","27,34","28,70","432,08M"
"27/11/2019","27,50","27,60","1,62","26,57","27,74","297,68M"
"26/11/2019","27,84","27,16","-2,44","26,85","28,67","697,58M"
"25/11/2019","25,50","27,84","9,61","25,41","27,86","710,11M"
"22/11/2019","25,66","25,40","-1,01","24,73","25,97","529,17M"
"21/11/2019","26,50","25,66","-3,17","25,36","26,65","365,97M"
"19/11/2019","26,93","26,50","-0,90","26,40","27,31","273,85M"
"18/11/2019","26,57","26,74","1,94","26,38","26,94","360,62M"
"14/11/2019","27,50","26,23","-2,56","26,10","27,64","602,07M"
"13/11/2019","27,30","26,92","-2,18","26,63","27,97","380,43M"
"12/11/2019","28,11","27,52","-1,04","27,07","28,19","537,87M"
"11/11/2019","27,59","27,81","0,80","27,43","28,13","306,89M"
"08/11/2019","27,00","27,59","1,62","26,80","27,94","352,64M"
"07/11/2019","26,80","27,15","2,07","26,72","27,45","336,10M"
"06/11/2019","28,26","26,60","-5,24","26,60","28,39","532,54M"
"05/11/2019","29,20","28,07","-3,87","27,13","29,20","538,74M"
"04/11/2019","28,60","29,20","3,11","28,36","29,40","573,26M"
"01/11/2019","28,29","28,32","0,11","27,91","28,58","300,71M"
"31/10/2019","28,89","28,29","-2,21","28,20","29,25","350,59M"
"30/10/2019","28,47","28,93","1,44","28,24","28,95","300,96M"
"29/10/2019","28,90","28,52","-0,77","28,32","28,99","167,43M"
"28/10/2019","28,49","28,74","1,38","28,28","28,91","408,72M"
"25/10/2019","29,25","28,35","-2,58","28,26","29,30","280,13M"
"24/10/2019","29,78","29,10","-1,95","28,65","29,78","269,98M"
"23/10/2019","30,30","29,68","-1,88","29,61","30,57","337,98M"
"22/10/2019","29,98","30,25","1,34","29,65","30,50","284,89M"
"21/10/2019","29,37","29,85","2,79","29,02","29,85","183,06M"
"18/10/2019","29,20","29,04","-0,34","28,92","29,73","887,35M"
"17/10/2019","29,45","29,14","-0,68","28,92","29,68","233,44M"
"16/10/2019","29,25","29,34","0,82","28,95","29,44","272,43M"
"15/10/2019","29,30","29,10","0,34","29,06","29,69","370,67M"
"14/10/2019","29,48","29,00","-1,36","28,74","29,55","307,77M"
"11/10/2019","29,30","29,40","0,86","29,12","29,68","264,36M"
"10/10/2019","29,56","29,15","-1,02","29,10","29,65","609,02M"
"09/10/2019","29,49","29,45","-3,92","29,11","29,97","495,95M"
"08/10/2019","31,21","30,65","-1,38","30,37","31,59","339,84M"
"07/10/2019","31,67","31,08","-1,49","30,90","31,80","251,75M"
"04/10/2019","32,01","31,55","-1,10","31,26","32,10","474,28M"
"03/10/2019","31,90","31,90","1,27","31,25","32,03","206,05M"
"02/10/2019","31,50","31,50","-4,40","31,32","32,65","343,31M"
"01/10/2019","32,95","32,95","0,49","32,36","33,44","200,32M"
"30/09/2019","32,79","32,79","1,05","32,25","33,10","278,97M"
"27/09/2019","32,45","32,45","-1,07","32,20","32,85","169,81M"
"26/09/2019","32,80","32,80","-1,20","32,15","33,49","335,18M"
"25/09/2019","33,20","33,20","0,97","32,71","34,25","513,29M"
"24/09/2019","32,88","32,88","7,10","30,90","32,88","549,28M"
"23/09/2019","30,70","30,70","-0,65","30,53","31,13","263,89M"
"20/09/2019","30,90","30,90","4,25","29,97","31,20","729,41M"
"19/09/2019","29,64","29,64","0,61","29,29","30,16","355,72M"
"18/09/2019","29,46","29,46","-0,30","29,00","29,79","330,17M"
"17/09/2019","29,55","29,55","-0,64","29,33","30,32","499,20M"
