"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","47,85","47,30","-1,15","47,19","48,18","128,40M"
"27/12/2019","48,14","47,85","-0,62","47,07","48,17","184,75M"
"26/12/2019","46,72","48,15","3,12","46,12","48,44","169,79M"
"23/12/2019","45,83","46,69","-2,13","45,25","46,69","140,82M"
"20/12/2019","48,87","47,71","-2,21","47,60","48,87","283,21M"
"19/12/2019","47,97","48,79","1,39","47,48","49,25","275,98M"
"18/12/2019","47,11","48,12","2,18","46,57","48,12","446,09M"
"17/12/2019","47,31","47,09","-0,42","46,59","47,67","150,06M"
"16/12/2019","46,66","47,29","1,43","46,51","47,69","203,87M"
"13/12/2019","46,80","46,63","0,11","46,10","47,29","205,12M"
"12/12/2019","45,55","46,58","2,57","45,42","46,58","148,47M"
"11/12/2019","44,26","45,41","2,61","44,26","45,89","168,24M"
"10/12/2019","44,94","44,26","-1,53","43,91","44,99","151,95M"
"09/12/2019","45,73","44,94","-1,23","44,60","45,97","118,48M"
"06/12/2019","44,84","45,50","1,47","44,67","45,94","142,60M"
"05/12/2019","44,39","44,84","1,44","43,84","44,84","89,76M"
"04/12/2019","44,79","44,21","-0,98","43,87","45,30","172,59M"
"03/12/2019","44,55","44,64","0,63","43,71","44,87","137,87M"
"02/12/2019","44,80","44,37","-1,07","43,91","44,80","147,75M"
"29/11/2019","44,65","44,84","0,65","43,93","44,84","146,77M"
"28/11/2019","42,91","44,55","3,42","42,88","44,55","179,63M"
"27/11/2019","43,33","43,08","-0,57","42,43","43,55","87,53M"
"26/11/2019","43,87","43,33","-1,23","42,38","43,87","262,50M"
"25/11/2019","44,02","43,87","-0,47","43,25","44,14","171,95M"
"22/11/2019","43,13","44,08","2,19","42,63","44,08","198,63M"
"21/11/2019","40,84","43,13","5,61","40,54","43,13","228,71M"
"19/11/2019","41,25","40,84","-0,32","40,35","41,60","180,27M"
"18/11/2019","41,82","40,97","-1,44","40,97","41,99","151,47M"
"14/11/2019","41,02","41,57","1,43","40,76","41,81","135,31M"
"13/11/2019","41,02","40,98","-0,31","40,52","41,57","180,47M"
"12/11/2019","41,66","41,11","-1,99","40,51","42,01","198,61M"
"11/11/2019","41,22","41,95","1,40","41,06","42,10","176,42M"
"08/11/2019","41,95","41,37","-1,89","40,85","41,97","177,44M"
"07/11/2019","42,11","42,17","0,38","41,60","42,61","350,95M"
"06/11/2019","42,00","42,01","0,02","41,45","42,39","226,17M"
