"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","9,82","9,96","2,05","9,70","10,00","172,46M"
"27/12/2019","9,82","9,76","0,72","9,62","9,90","169,10M"
"26/12/2019","9,55","9,69","3,09","9,42","9,75","242,04M"
"23/12/2019","9,59","9,40","-0,95","9,25","9,69","251,80M"
"20/12/2019","9,80","9,49","-2,37","9,37","9,99","321,32M"
"19/12/2019","10,20","9,72","-5,17","9,72","10,20","244,56M"
"18/12/2019","10,30","10,25","-4,21","10,11","10,42","280,15M"
"17/12/2019","10,90","10,70","-1,56","10,70","10,96","55,79M"
"16/12/2019","10,95","10,87","-0,37","10,81","11,05","43,44M"
"13/12/2019","11,02","10,91","-0,55","10,89","11,09","35,42M"
"12/12/2019","11,11","10,97","-1,17","10,85","11,29","48,20M"
"11/12/2019","11,20","11,10","-0,80","11,06","11,40","52,21M"
"10/12/2019","10,80","11,19","2,94","10,80","11,20","39,84M"
"09/12/2019","11,11","10,87","-2,07","10,80","11,14","56,64M"
"06/12/2019","11,15","11,10","0,27","11,09","11,21","29,82M"
"05/12/2019","10,98","11,07","0,82","10,98","11,17","33,44M"
"04/12/2019","11,31","10,98","-2,57","10,93","11,45","64,00M"
"03/12/2019","10,87","11,27","3,87","10,87","11,37","80,23M"
"02/12/2019","10,73","10,85","1,40","10,72","10,90","45,48M"
"29/11/2019","10,83","10,70","-0,83","10,64","10,96","42,61M"
"28/11/2019","10,82","10,79","0,19","10,77","11,00","41,44M"
"27/11/2019","10,83","10,77","0,28","10,63","11,00","84,61M"
"26/11/2019","11,10","10,74","-4,62","10,74","11,53","156,79M"
"25/11/2019","10,81","11,26","5,33","10,80","11,37","116,63M"
"22/11/2019","10,85","10,69","-1,47","10,58","10,88","71,64M"
"21/11/2019","11,29","10,85","-3,90","10,71","11,29","91,24M"
"19/11/2019","11,15","11,29","2,45","11,11","11,35","74,64M"
"18/11/2019","10,75","11,02","5,56","10,70","11,11","93,45M"
"14/11/2019","10,70","10,44","-2,16","10,29","10,78","56,75M"
"13/11/2019","10,85","10,67","-1,11","10,47","10,99","78,64M"
"12/11/2019","11,50","10,79","-4,00","10,77","11,68","100,33M"
"11/11/2019","10,95","11,24","1,72","10,76","11,24","50,79M"
"08/11/2019","11,24","11,05","-2,56","10,92","11,42","48,30M"
"07/11/2019","10,92","11,34","4,04","10,92","11,34","58,73M"
"06/11/2019","10,89","10,90","-0,18","10,82","11,08","51,61M"
"05/11/2019","10,97","10,92","-0,46","10,75","11,07","30,20M"
"04/11/2019","11,00","10,97","1,20","10,81","11,14","37,29M"
"01/11/2019","10,73","10,84","0,84","10,63","10,98","31,86M"
"31/10/2019","11,05","10,75","-2,63","10,71","11,08","40,88M"
"30/10/2019","11,05","11,04","-0,54","10,90","11,20","37,00M"
"29/10/2019","11,18","11,10","-0,09","10,96","11,26","37,82M"
"28/10/2019","11,38","11,11","-2,37","11,11","11,46","35,97M"
"25/10/2019","11,36","11,38","1,16","11,33","11,64","56,71M"
"24/10/2019","11,52","11,25","-2,09","11,19","11,64","43,23M"
"23/10/2019","11,96","11,49","-3,12","11,49","12,14","76,89M"
"22/10/2019","11,64","11,86","2,68","11,61","11,88","45,07M"
"21/10/2019","11,79","11,55","-0,86","11,49","11,79","27,43M"
"18/10/2019","11,60","11,65","0,69","11,60","11,87","34,63M"
"17/10/2019","11,47","11,57","1,22","11,45","11,90","69,94M"
"16/10/2019","11,46","11,43","0,00","11,32","11,53","61,32M"
"15/10/2019","11,47","11,43","-0,70","11,40","11,64","31,03M"
"14/10/2019","11,64","11,51","-1,29","11,37","11,72","33,32M"
"11/10/2019","11,45","11,66","1,83","11,37","11,73","34,56M"
"10/10/2019","11,53","11,45","-0,35","11,41","11,70","30,51M"
"09/10/2019","11,58","11,49","0,17","11,07","11,64","84,13M"
"08/10/2019","11,82","11,47","-3,13","11,44","11,94","43,16M"
"07/10/2019","11,80","11,84","-0,25","11,67","11,91","61,87M"
"04/10/2019","11,62","11,87","2,15","11,46","11,89","69,16M"
"03/10/2019","11,62","11,62","-0,34","11,42","11,85","69,09M"
"02/10/2019","11,66","11,66","0,09","11,31","11,95","150,43M"
"01/10/2019","11,65","11,65","5,72","10,99","11,79","104,92M"
"30/09/2019","11,02","11,02","0,27","10,87","11,21","45,63M"
"27/09/2019","10,99","10,99","0,09","10,79","11,09","65,43M"
