"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","40,00","39,68","-0,80","39,68","40,56","95,45M"
"27/12/2019","40,72","40,00","-1,77","39,64","40,95","136,04M"
"26/12/2019","40,04","40,72","1,70","39,55","40,79","112,84M"
"23/12/2019","40,25","40,04","-0,35","39,47","40,56","119,96M"
"20/12/2019","39,70","40,18","1,29","39,21","40,50","219,73M"
"19/12/2019","39,58","39,67","0,25","39,01","39,86","151,82M"
"18/12/2019","40,25","39,57","-1,15","39,00","40,25","313,63M"
"17/12/2019","39,20","40,03","2,96","39,20","40,34","240,17M"
"16/12/2019","39,00","39,20","0,82","38,93","39,79","149,56M"
"13/12/2019","39,50","38,88","-0,72","38,64","39,88","150,50M"
"12/12/2019","39,35","39,16","-0,05","39,00","39,78","120,41M"
"11/12/2019","37,76","39,18","2,86","37,72","39,34","215,67M"
"10/12/2019","37,80","38,09","0,82","37,74","38,46","132,50M"
"09/12/2019","38,10","37,78","-1,10","37,70","38,67","119,41M"
"06/12/2019","38,10","38,20","0,53","37,94","38,65","143,07M"
"05/12/2019","37,90","38,00","0,24","37,64","38,70","155,06M"
"04/12/2019","38,95","37,91","-2,67","37,64","38,95","190,33M"
"03/12/2019","38,55","38,95","0,39","38,26","38,95","150,90M"
"02/12/2019","38,56","38,80","0,62","38,38","39,15","117,22M"
"29/11/2019","38,40","38,56","-0,03","37,91","38,84","185,18M"
"28/11/2019","39,14","38,57","-1,36","38,42","39,50","160,10M"
"27/11/2019","38,20","39,10","2,68","38,05","39,42","231,75M"
"26/11/2019","38,12","38,08","0,21","37,80","38,79","337,71M"
"25/11/2019","38,62","38,00","-0,81","37,87","38,62","149,04M"
"22/11/2019","38,23","38,31","0,21","37,87","38,69","226,84M"
"21/11/2019","37,90","38,23","0,82","37,40","38,33","141,45M"
"19/11/2019","38,00","37,92","0,26","37,62","38,55","148,24M"
"18/11/2019","36,91","37,82","3,19","36,35","37,92","307,25M"
"14/11/2019","37,80","36,65","-2,63","36,21","37,95","199,67M"
"13/11/2019","38,24","37,64","-1,57","37,45","38,60","254,90M"
"12/11/2019","38,25","38,24","0,00","37,92","39,26","286,80M"
"11/11/2019","37,90","38,24","0,63","37,30","38,41","223,12M"
"08/11/2019","38,00","38,00","-0,68","37,50","38,70","260,08M"
"07/11/2019","37,05","38,26","3,55","36,92","38,89","466,37M"
"06/11/2019","37,14","36,95","-0,57","36,39","37,50","304,89M"
"05/11/2019","36,50","37,16","1,98","35,70","37,58","385,68M"
"04/11/2019","34,90","36,44","4,08","34,51","36,44","352,98M"
"01/11/2019","33,00","35,01","7,26","33,00","35,50","761,16M"
"31/10/2019","32,20","32,64","1,05","31,86","33,04","213,79M"
"30/10/2019","32,69","32,30","-1,28","32,08","32,93","109,39M"
"29/10/2019","32,81","32,72","0,12","32,52","32,99","79,02M"
"28/10/2019","32,88","32,68","-0,06","32,68","33,15","85,81M"
"25/10/2019","32,93","32,70","-0,79","32,57","33,36","152,47M"
"24/10/2019","34,24","32,96","-4,46","32,96","34,26","270,51M"
"23/10/2019","35,05","34,50","-1,20","34,42","35,14","174,86M"
"22/10/2019","35,16","34,92","0,11","34,76","35,71","280,92M"
