"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"30/12/2019","53,65","53,30","-0,56","53,20","53,86","637,83M"
"27/12/2019","53,99","53,60","0,03","53,42","54,00","747,39M"
"26/12/2019","53,60","53,58","0,38","53,31","53,79","1,09B"
"23/12/2019","53,69","53,38","-0,38","53,20","53,77","545,77M"
"20/12/2019","53,57","53,58","1,46","52,96","53,78","2,26B"
"19/12/2019","52,32","52,81","0,99","52,05","53,05","933,13M"
"18/12/2019","52,11","52,29","0,23","51,44","52,36","1,19B"
"17/12/2019","52,08","52,18","0,02","51,88","52,53","707,84M"
"16/12/2019","53,30","52,17","-0,78","52,17","53,47","1,15B"
"13/12/2019","52,13","52,58","1,53","51,68","52,81","1,47B"
"12/12/2019","50,95","51,79","2,16","50,59","51,89","1,29B"
"11/12/2019","50,25","50,69","1,23","50,09","50,90","788,28M"
"10/12/2019","50,09","50,07","-0,47","49,78","50,30","694,51M"
"09/12/2019","51,10","50,31","0,18","50,20","51,34","983,36M"
"06/12/2019","50,12","50,22","0,79","49,91","50,55","699,42M"
"05/12/2019","49,58","49,83","0,06","49,44","49,96","473,20M"
"04/12/2019","49,71","49,80","0,99","49,42","49,91","452,77M"
"03/12/2019","50,12","49,31","-1,79","49,14","50,13","665,73M"
"02/12/2019","49,05","50,21","2,72","49,01","50,55","1,20B"
"29/11/2019","49,26","48,88","-0,77","48,72","49,36","503,47M"
"28/11/2019","49,45","49,26","-0,42","48,60","49,76","500,04M"
"27/11/2019","49,81","49,47","-1,25","49,03","50,07","668,19M"
"26/11/2019","49,49","50,09","0,71","49,35","50,37","1,62B"
"25/11/2019","49,43","49,74","1,66","49,32","50,05","1,22B"
"22/11/2019","47,48","48,93","3,32","47,48","48,93","1,34B"
"21/11/2019","46,71","47,35","0,52","46,65","47,35","735,30M"
"19/11/2019","47,05","47,11","1,18","46,67","47,42","616,73M"
"18/11/2019","46,67","46,56","1,30","46,44","46,99","783,27M"
"14/11/2019","46,31","45,97","-0,25","45,93","46,53","653,37M"
"13/11/2019","46,60","46,08","-1,63","45,94","47,00","781,77M"
"12/11/2019","47,24","46,85","-0,48","46,85","47,42","618,86M"
"11/11/2019","47,37","47,07","-2,14","46,90","47,37","960,13M"
"08/11/2019","48,24","48,10","-1,86","47,74","48,46","953,89M"
"07/11/2019","48,74","49,01","0,85","48,45","49,42","1,31B"
"06/11/2019","48,80","48,60","-0,36","47,82","48,87","721,40M"
"05/11/2019","48,97","48,77","0,10","48,34","49,17","777,39M"
"04/11/2019","48,00","48,72","2,85","48,00","48,72","1,02B"
"01/11/2019","46,75","47,37","2,63","46,71","47,63","953,37M"
"31/10/2019","47,04","46,16","-2,86","45,83","47,41","1,00B"
"30/10/2019","47,34","47,52","-0,12","46,64","47,55","719,05M"
"29/10/2019","47,35","47,58","-0,10","47,02","47,73","473,11M"
"28/10/2019","47,58","47,63","0,29","47,28","47,73","518,20M"
"25/10/2019","46,70","47,49","3,87","46,50","47,49","1,02B"
"24/10/2019","46,42","45,72","-0,76","45,50","46,52","662,20M"
"23/10/2019","46,55","46,07","-0,40","46,00","46,78","569,05M"
"22/10/2019","46,24","46,26","0,19","46,06","46,49","699,42M"
"21/10/2019","45,40","46,17","2,56","45,24","46,17","608,48M"
"18/10/2019","45,86","45,02","-1,46","45,01","46,14","744,22M"
"17/10/2019","45,96","45,68","-0,19","45,58","46,01","645,71M"
"16/10/2019","46,35","45,77","-2,32","45,61","46,47","1,12B"
"15/10/2019","46,83","46,86","-0,17","46,48","47,23","683,50M"
"14/10/2019","47,14","46,93","-1,34","46,51","47,19","537,85M"
"11/10/2019","46,97","47,57","2,96","46,94","47,84","1,16B"
"10/10/2019","45,05","46,20","3,44","45,05","46,41","700,57M"
"09/10/2019","44,67","44,67","0,77","44,33","45,03","422,85M"
"08/10/2019","45,28","44,32","-1,56","44,32","45,35","648,68M"
"07/10/2019","45,28","45,03","-1,18","45,03","45,95","565,87M"
"04/10/2019","44,69","45,57","2,53","44,68","45,76","959,95M"
"03/10/2019","44,44","44,44","0,75","43,25","44,80","1,08B"
"02/10/2019","44,11","44,11","-5,47","44,11","45,87","1,09B"
"01/10/2019","46,66","46,66","-0,08","46,61","47,80","753,01M"
"30/09/2019","46,70","46,70","0,19","46,17","46,98","563,78M"
"27/09/2019","46,61","46,61","-0,42","46,23","47,29","619,87M"
"26/09/2019","46,81","46,81","0,00","46,48","47,22","570,00M"
"25/09/2019","46,81","46,81","1,98","45,80","46,96","674,85M"
"24/09/2019","45,90","45,90","-2,43","45,75","46,83","702,09M"
"23/09/2019","47,04","47,04","-0,66","46,90","47,50","544,16M"
"20/09/2019","47,35","47,35","0,21","46,94","47,67","1,13B"
"19/09/2019","47,26","47,26","-0,17","46,71","47,51","737,55M"
"18/09/2019","47,34","47,34","-1,02","46,92","47,92","706,75M"
"17/09/2019","47,82","47,82","0,64","47,17","48,07","689,01M"
"16/09/2019","48,31","47,52","-2,41","47,29","48,35","1,25B"
"13/09/2019","48,69","48,69","0,20","48,57","49,19","1,08B"
"12/09/2019","47,55","48,60","3,63","47,53","48,68","1,90B"
"11/09/2019","46,90","46,90","-0,60","46,53","47,53","790,41M"
"10/09/2019","46,83","47,18","0,73","46,16","47,43","1,00B"
"09/09/2019","46,84","46,84","3,10","45,27","46,84","1,12B"
"06/09/2019","45,43","45,43","-0,26","45,08","45,65","463,32M"
"05/09/2019","45,92","45,55","0,11","45,53","46,15","793,85M"
"04/09/2019","45,04","45,50","2,20","44,96","45,50","561,16M"
